央视频道|CCTV-1,http://202.168.187.208:9089/tsfile/live/1003_1.m3u8#@http://202.168.187.208:9089/tsfile/live/1003_1.m3u8?key=txiptv&playlive=1&authid=0#@http://183.215.134.239:19901/tsfile/live/0001_1.m3u8?key=txiptv&playlive=1&authid=0
央视|CCTV-2,http://183.215.134.239:19901/tsfile/live/0002_1.m3u8?key=txiptv&playlive=1&authid=0
央视|CCTV-3,http://183.215.134.239:19901/tsfile/live/0003_1.m3u8?key=txiptv&playlive=1&authid=0
央视|CCTV-5+,http://183.215.134.239:19901/tsfile/live/0005_1.m3u8?key=txiptv&playlive=1&authid=0
央视|CCTV-8,http://183.215.134.239:19901/tsfile/live/0008_1.m3u8?key=txiptv&playlive=1&authid=0


央视|CCTV-1,http://183.184.228.183:9003//hls/1/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/1/live.m3u8
央视|CCTV-2,http://183.184.228.183:9003//hls/2/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/2/live.m3u8
央视|CCTV-3,http://183.184.228.183:9003//hls/3/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/3/live.m3u8
央视|CCTV-4,http://183.184.228.183:9003//hls/4/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/4/live.m3u8
央视|CCTV-5,http://183.184.228.183:9003//hls/5/index.m3u8
央视|CCTV-5+,http://183.184.228.183:9003//hls/6/index.m3u8
央视|CCTV-6,http://183.184.228.183:9003//hls/7/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/6/live.m3u8
央视|CCTV-7,http://183.184.228.183:9003//hls/8/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/8/live.m3u8
央视|CCTV-8,http://183.184.228.183:9003//hls/9/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/11/live.m3u8
央视|CCTV-9,http://183.184.228.183:9003//hls/10/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/12/live.m3u8
央视|CCTV-10,http://183.184.228.183:9003//hls/11/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/13/live.m3u8
央视|CCTV-11,http://183.184.228.183:9003//hls/12/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/14/live.m3u8
央视|CCTV-12,http://183.184.228.183:9003//hls/13/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/15/live.m3u8
央视|CCTV-13,http://183.184.228.183:9003//hls/14/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/16/live.m3u8
央视|CCTV-14,http://183.184.228.183:9003//hls/15/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/17/live.m3u8
央视|CCTV-15,http://183.184.228.183:9003//hls/16/index.m3u8#@http://36.32.174.67:60080/newlive/live/hls/18/live.m3u8
央视|CCTV-16,http://183.184.228.183:9003//hls/17/index.m3u8#@
